호선,역,시간(분),del1,del2,del3,del4
5,마곡,1:30,,,,
5,발산,1:40,,,,
5,우장산,1:30,,,,
5,화곡,1:30,,,,
5,까치산,1:30,,,,
5,신정,1:50,,,,
5,목동,1:10,,,,
5,오목교,1:20,,,,
5,양평,1:20,,,,
5,영등포구청,1:10,,,,
5,영등포시장,1:10,,,,
5,신길,1:30,,,,
5,여의도,1:30,,,,
5,여의나루,1:20,,,,
5,마포,2:00,,,,
5,공덕,1:10,,,,
5,애오개,1:20,,,,
5,충정로,1:20,,,,
5,서대문,1:00,,,,
5,광화문,1:30,,,,
5,종로3가,1:40,,,,
5,을지로4가,1:40,,,,
5,동대문역사문화공원,1:30,,,,
5,청구,1:20,,,,
5,신금호,1:30,,,,
5,행당,1:20,,,,
5,왕십리,1:10,,,,
5,마장,1:00,,,,
5,답십리,1:40,,,,
5,장한평,1:40,,,,
5,군자,1:40,,,,
5,아차산,1:30,,,,
5,광나루,1:50,,,,
5,천호,2:10,,,,
5,강동,1:10,,,,
5,길동,1:30,,,,
5,굽은다리,1:10,,,,
5,명일,1:10,,,,
5,고덕,1:40,,,,
5,상일동,1:40,,,,
5,강일,1:10,,,,
5,미사,1:50,,,,
5,하남풍산,2:30,,,,
5,하남시청,1:40,,,,
5,하남검단산,2:00,,,,
5,강동,1:10,,,,
5,둔촌동,1:50,,,,
5,올림픽공원,1:40,,,,
5,방이,1:20,,,,
5,오금,1:20,,,,
5,개롱,1:10,,,,
5,거여,1:20,,,,
5,마천,1:30,,,,
